"conflict_id","dyad_id","org","side_a_name","side_a_name_fulltext","side_a_name_mothertongue","side_a_id","side_a_components","side_a_2nd","gwno_a_2nd","side_b_name","side_b_name_fulltext","side_b_name_mothertongue","side_b_id","side_b_components","side_b_2nd","gwno_b_2nd","start_date","start_prec","start_date2","start_prec2","ep_end","ep_end_date","ep_end_prec","year","best_fatality_estimate","low_fatality_estimate","high_fatality_estimate","location","gwno_location","region","version"
"4601","5211","1","Comando Vermelho","Red Command","Comando Vermelho","772","","","","Terceiro Comando","Third Command","Terceiro Comando","781","","","","1993-06-19","1","1994-02-21","3","0","","","1994","28","28","28","Brazil","140","5","22.1"
"4601","5211","1","Comando Vermelho","Red Command","Comando Vermelho","772","","","","Terceiro Comando","Third Command","Terceiro Comando","781","","","","1993-06-19","1","1994-02-21","3","1","1995-12-10","2","1995","40","40","40","Brazil","140","5","22.1"
"4601","5211","1","Comando Vermelho","Red Command","Comando Vermelho","772","","","","Terceiro Comando","Third Command","Terceiro Comando","781","","","","1993-06-19","1","1997-12-09","1","1","1997-12-13","1","1997","34","34","34","Brazil","140","5","22.1"
"4601","5211","1","Comando Vermelho","Red Command","Comando Vermelho","772","","","","Terceiro Comando","Third Command","Terceiro Comando","781","","","","1993-06-19","1","2000-06-27","1","0","","","2000","29","29","30","Brazil","140","5","22.1"
"4601","5211","1","Comando Vermelho","Red Command","Comando Vermelho","772","","","","Terceiro Comando","Third Command","Terceiro Comando","781","","","","1993-06-19","1","2000-06-27","1","0","","","2001","74","74","74","Brazil","140","5","22.1"
"4601","5211","1","Comando Vermelho","Red Command","Comando Vermelho","772","","","","Terceiro Comando","Third Command","Terceiro Comando","781","","","","1993-06-19","1","2000-06-27","1","0","","","2002","48","48","52","Brazil","140","5","22.1"
"4601","5211","1","Comando Vermelho","Red Command","Comando Vermelho","772","","","","Terceiro Comando","Third Command","Terceiro Comando","781","","","","1993-06-19","1","2000-06-27","1","0","","","2003","35","41","41","Brazil","140","5","22.1"
"4601","5211","1","Comando Vermelho","Red Command","Comando Vermelho","772","","","","Terceiro Comando","Third Command","Terceiro Comando","781","","","","1993-06-19","1","2000-06-27","1","1","2004-07-04","2","2004","34","34","34","Brazil","140","5","22.1"
"4602","5212","1","CPN-M","Communist Party of Nepal-Maoist","n/a","258","","","","MJF","Madhesi People's Rights Forum","Madhesi Jana Adhikar Forum","784","","","","2007-01-19","1","2007-03-21","1","1","2007-03-28","1","2007","30","30","33","Nepal","790","3","22.1"
"4603","5213","3","Dabare subclan of Digil clan (Digil-Mirifle)","Dabare subclan of Digil clan (Digil-Mirifle)","n/a","593","","","","Luway subclan of Mirifle clan (Digil-Mirifle)","Luway subclan of Mirifle clan (Digil-Mirifle)","n/a","640","","","","2004-05-30","1","2004-08-15","1","1","2004-12-16","1","2004","47","47","87","Somalia","520","4","22.1"
