,Year,CBPF Name,Cluster,Total Allocations,Targeted People,Reached People
21,2017,Colombia,Health,194797.125,2314,2336
22,2017,Colombia,Protection,328835.16,3540,4562
23,2017,Colombia,Water Sanitation Hygiene,283986.535,4060,4392
24,2017,DRC,Education,1501756.9275,43826,42096
25,2017,DRC,Emergency Shelter and NFI,5306029.8,193930,196634
26,2017,DRC,Food Security,10163866.294,263508,266314
27,2017,DRC,Health,1328805.336,67406,78276
28,2017,DRC,Logistics,5382602.482,51116,16833
29,2017,DRC,Nutrition,4761233.954,89034,81188
30,2017,DRC,Protection,3592165.4815,207246,231188
31,2017,DRC,Water Sanitation Hygiene,3791967.355,316530,422913
32,2017,Ethiopia,Coordination and Support Services,1148779.56,1160,1160
33,2017,Ethiopia,Education,988672.31,7663,8954
34,2017,Ethiopia,Emergency Shelter and NFI,6777341.738600001,966495,2407625
35,2017,Ethiopia,Food Security,11854875.42,847042,898740
36,2017,Ethiopia,Health,18221396.772,11625960,9512409
37,2017,Ethiopia,Nutrition,25654795.072,1305454,1424911
38,2017,Ethiopia,Protection,3012586.33,174694,200532
39,2017,Ethiopia,Water Sanitation Hygiene,24677151.9174,7290245,8810115
40,2017,Iraq,Camp Coordination / Management,4179694.6,284623,335287
41,2017,Iraq,Coordination and Support Services,1198484.7,549670,574636
42,2017,Iraq,Early Recovery,1556394.12,9506,11584
43,2017,Iraq,Education,5172334.4583,136168,143252
44,2017,Iraq,Emergency Shelter and NFI,12855284.826999998,224678,252518
45,2017,Iraq,Emergency Telecommunications,1472499.29,60,60
46,2017,Iraq,Food Security,4090590.46,356218,367090
47,2017,Iraq,Health,12084362.54,1202686,1593907
48,2017,Iraq,Logistics,1463784.01,39,30
49,2017,Iraq,Multi-Sector,6000000.27,140592,142835
